player,minutes_played,goals,xg,assists,xa,passes,prog_passes,goals_p90,xg_p90,assists_p90,xa_p90,team
Troy Deeney,3515,13.0,12.085973285,7.0,0.0,1302.0,147.0,0.3328591749644381,0.3094559304836415,0.1792318634423897,0.0,Watford
Andrew Surman,3510,0.0,0.7623997892,3.0,0.0,2309.0,487.0,0.0,0.0195487125435897,0.0769230769230769,0.0,AFC Bournemouth
Kasper Schmeichel,3484,0.0,0.0,0.0,0.0,1220.0,1127.0,0.0,0.0,0.0,0.0,Leicester City
Heurelho da Silva Gomes,3480,0.0,0.0,0.0,0.0,1132.0,955.0,0.0,0.0,0.0,0.0,Watford
Simon Francis,3479,0.0,0.1969073493,4.0,0.0,2454.0,589.0,0.0,0.0050938952104052,0.1034780109226789,0.0,AFC Bournemouth
Toby Alderweireld,3477,4.0,3.1840854048,2.0,0.0,2122.0,756.0,0.1035375323554788,0.082418086405522,0.0517687661777394,0.0,Tottenham Hotspur
Craig Dawson,3475,4.0,3.4319955754,0.0,0.0,1658.0,387.0,0.1035971223021582,0.0888862163412949,0.0,0.0,West Bromwich Albion
Darren Fletcher,3466,1.0,1.839551207,2.0,0.0,1516.0,353.0,0.0259665320253894,0.0477667653289094,0.0519330640507789,0.0,West Bromwich Albion
Wes Morgan,3453,2.0,2.948268348,0.0,0.0,849.0,179.0,0.052128583840139,0.076844526880973,0.0,0.0,Leicester City
Harry Kane,3440,25.0,21.6354907508,1.0,0.0,1005.0,132.0,0.6540697674418604,0.5660448161546511,0.0261627906976744,0.0,Tottenham Hotspur
Ignacio Monreal Eraso,3403,0.0,1.202076251,3.0,0.0,2259.0,239.0,0.0,0.031791614043491,0.0793417572729944,0.0,Arsenal
Hugo Lloris,3402,0.0,0.0,0.0,0.0,1217.0,751.0,0.0,0.0,0.0,0.0,Tottenham Hotspur
Łukasz Fabiański,3399,0.0,0.10419701,1.0,0.0,1212.0,795.0,0.0,0.00275896760812,0.026478375992939,0.0,Swansea City
Aaron Cresswell,3398,2.0,0.8002924176,4.0,0.0,1874.0,422.0,0.0529723366686286,0.0211966796892289,0.1059446733372572,0.0,West Ham United
César Azpilicueta Tanco,3387,2.0,1.5438206625000002,4.0,0.0,2198.0,318.0,0.0531443755535872,0.0410226925376439,0.1062887511071744,0.0,Chelsea
Charlie Daniels,3358,3.0,2.934878228,5.0,0.0,2239.0,342.0,0.080405002977963,0.078659630887433,0.1340083382966051,0.0,AFC Bournemouth
Olivier Giroud,3357,16.0,13.017702893,6.0,0.0,825.0,39.0,0.4289544235924933,0.3490000775603217,0.1608579088471849,0.0,Arsenal
Georginio Wijnaldum,3340,11.0,7.722146134,4.0,0.0,1264.0,136.0,0.2964071856287425,0.2080817820538922,0.1077844311377245,0.0,Newcastle United
Eric Dier,3325,3.0,2.058710326,2.0,0.0,2111.0,414.0,0.081203007518797,0.0557244900270676,0.0541353383458646,0.0,Tottenham Hotspur
Romelu Lukaku Menama,3317,18.0,18.1571581707,6.0,0.0,1112.0,69.0,0.4883931263189628,0.4926572913364486,0.1627977087729876,0.0,Everton
Héctor Bellerín Moruno,3316,1.0,0.6149053369999999,5.0,0.0,2094.0,196.0,0.0271411338962605,0.0166892280850422,0.1357056694813027,0.0,Arsenal
Odion Jude Ighalo,3311,15.0,16.9192775224,2.0,0.0,707.0,42.0,0.4077318030806403,0.4599018354019934,0.054364240410752,0.0,Watford
Matt Ritchie,3308,4.0,4.6373052321,6.0,0.0,1675.0,379.0,0.1088270858524788,0.126166103654474,0.1632406287787182,0.0,AFC Bournemouth
Ashley Williams,3304,2.0,2.037459865,1.0,0.0,1884.0,541.0,0.0544794188861985,0.0554998147245762,0.0272397094430992,0.0,Swansea City
